Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Ali,2023-06-08 05:45:31,01:23:46,,The Call,,Apple iPhone 11 Pro,01:46:11,01:46:11,CA (Canada)
Ali,2023-06-08 05:14:10,00:19:07,,The Call,,LG DTV 2022 LG O22 UHD TV Smart TV,00:22:14,Not latest view,CA (Canada)
Ali,2023-06-08 05:02:38,00:03:45,,The Call,,LG DTV 2022 LG O22 UHD TV Smart TV,00:03:46,Not latest view,CA (Canada)
Ali,2023-06-08 05:02:14,00:00:22,Autoplayed: user action: None; ,THECALL_CLIP_GENRE,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:22,00:00:22,CA (Canada)
Ali,2023-06-08 05:02:04,00:00:09,Autoplayed: user action: None; ,Trailer 2: The Stranger,TRAILER,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:10,00:00:10,CA (Canada)
Ali,2023-06-08 05:01:23,00:00:04,Autoplayed: user action: None; ,Black Mirror: Season 6 (Episode Title Reveal),TEASER_TRAILER,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:04,00:00:04,CA (Canada)
Ali,2023-06-08 05:01:05,00:00:11,Autoplayed: user action: None; ,Doom_hook_primary_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:11,00:00:11,CA (Canada)
Ali,2023-06-08 05:00:36,00:00:22,Autoplayed: user action: None; ,Starsky & Hutch_hook_primary_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:22,00:00:22,CA (Canada)
Ali,2023-06-08 05:00:25,00:00:09,Autoplayed: user action: None; ,Mean Girls_hook_primary_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:09,00:00:09,CA (Canada)
Ali,2023-06-08 05:00:12,00:00:10,Autoplayed: user action: None; ,American Made_hook_primary_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:10,00:00:10,CA (Canada)
Ali,2023-06-08 04:59:15,00:00:55,Autoplayed: user action: None; ,Genre Specific Moment Clip: A Beautiful Life,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:55,00:00:55,CA (Canada)
Ali,2023-06-05 09:48:29,00:34:15,,BEEF: Season 1: We Draw a Magic Circle (Episode 6),,Apple iPhone 11 Pro,00:33:55,00:33:55,CA (Canada)
Ali,2023-06-05 09:15:31,00:32:49,,BEEF: Season 1: Such Inward Secret Creatures (Episode 5),,Apple iPhone 11 Pro,00:31:29,00:31:29,CA (Canada)
Ali,2023-06-05 02:38:33,00:00:20,Autoplayed: user action: None; ,Season 1 Teaser: FUBAR,TEASER_TRAILER,Safari MAC (Cadmium),00:00:00,00:00:00,CA (Canada)
Ali,2023-06-05 02:04:11,00:33:37,,BEEF: Season 1: Just Not All at the Same Time (Episode 4),,Safari MAC (Cadmium),00:33:32,00:33:32,CA (Canada)
Ali,2023-06-05 02:03:14,00:00:17,Autoplayed: user action: None; ,Limited Series Sensory Clip: McGREGOR FOREVER,HOOK,Safari MAC (Cadmium),00:00:17,00:00:17,CA (Canada)
Ali,2023-06-05 02:02:21,00:00:11,Autoplayed: user action: None; ,Papillon_hook_04_16x9,HOOK,Safari MAC (Cadmium),00:00:11,00:00:11,CA (Canada)
Ali,2023-06-05 02:00:01,00:00:04,Autoplayed: user action: None; ,Promising Young Woman_hook_01_16x9,HOOK,Safari MAC (Cadmium),00:00:04,00:00:04,CA (Canada)
Ali,2023-06-05 01:59:39,00:00:04,Autoplayed: user action: None; ,Spotlight_hook_primary_16x9,HOOK,Safari MAC (Cadmium),00:00:04,00:00:04,CA (Canada)
Ali,2023-06-05 01:59:02,00:00:20,Autoplayed: user action: None; ,Good Will Hunting_hook_primary_16x9,HOOK,Safari MAC (Cadmium),00:00:20,00:00:20,CA (Canada)
Ali,2023-06-05 01:58:34,00:00:04,Autoplayed: user action: None; ,Season 1 Moment of High Emotion Clip: McGREGOR FOREVER,HOOK,Safari MAC (Cadmium),00:00:04,00:00:04,CA (Canada)
Ali,2023-06-05 01:58:19,00:00:05,Autoplayed: user action: None; ,Season 1 Cliffhanger Clip: FUBAR (OS),HOOK,Safari MAC (Cadmium),00:00:05,00:00:05,CA (Canada)
Ali,2023-06-05 01:58:08,00:00:05,Autoplayed: user action: None; ,Black Mirror: Season 1_hook_primary_16x9,HOOK,Safari MAC (Cadmium),00:00:05,00:00:05,CA (Canada)
Ali,2023-06-05 01:57:53,00:00:05,Autoplayed: user action: None; ,Season 2 Trailer: I Think You Should Leave with Tim Robinson,TRAILER,Safari MAC (Cadmium),00:00:05,00:00:05,CA (Canada)
Ali,2023-06-05 01:57:24,00:00:24,Autoplayed: user action: None; ,Season 2 Trailer: I Think You Should Leave with Tim Robinson,TRAILER,Safari MAC (Cadmium),00:00:24,Not latest view,CA (Canada)
Ali,2023-06-05 01:57:18,00:00:04,Autoplayed: user action: None; ,Limited Series Sensory Clip: McGREGOR FOREVER,HOOK,Safari MAC (Cadmium),00:00:04,Not latest view,CA (Canada)
Ali,2023-05-17 02:32:33,00:00:06,Autoplayed: user action: None; ,Trailer: McGREGOR FOREVER,TRAILER,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:06,00:00:06,CA (Canada)
Ali,2023-05-17 02:32:15,00:00:04,Autoplayed: user action: None; ,Trailer: Arnold,TRAILER,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:04,00:00:04,CA (Canada)
Ali,2023-05-17 02:31:42,00:00:30,Autoplayed: user action: None; ,Season 1 Trailer 2: Squid Game: The Challenge,TRAILER,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:30,00:00:30,CA (Canada)
Ali,2023-05-16 06:41:58,00:28:09,,All Quiet on the Western Front,,LG DTV 2022 LG O22 UHD TV Smart TV,00:29:14,00:29:14,CA (Canada)
Ali,2023-05-16 06:37:36,00:04:09,,Rocketman,,LG DTV 2022 LG O22 UHD TV Smart TV,00:04:09,00:04:09,CA (Canada)
Ali,2023-05-16 06:37:23,00:00:11,Autoplayed: user action: None; ,Rocketman_hook_03_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:11,00:00:11,CA (Canada)
Ali,2023-05-16 06:36:52,00:00:05,Autoplayed: user action: None; ,American Gangster_hook_primary_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:05,00:00:05,CA (Canada)
Ali,2023-05-16 06:36:27,00:00:02,Autoplayed: user action: None; ,American Sniper,,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:02,00:00:02,CA (Canada)
Ali,2023-05-16 06:36:04,00:00:10,Autoplayed: user action: None; ,American Sniper_hook_primary_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:10,00:00:10,CA (Canada)
Ali,2023-05-16 06:34:12,00:01:10,,All Quiet on the Western Front,,LG DTV 2022 LG O22 UHD TV Smart TV,00:01:10,Not latest view,CA (Canada)
Ali,2023-05-16 06:33:46,00:00:14,Autoplayed: user action: None; ,THECALL_CLIP_MAINCHARACTER,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:14,00:00:14,CA (Canada)
Ali,2023-05-16 06:33:13,00:00:06,Autoplayed: user action: None; ,Main Character Intro Clip: All Quiet on the Western Front,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:06,00:00:06,CA (Canada)
Ali,2023-05-16 06:33:01,00:00:07,Autoplayed: user action: None; ,Comedy Clip 1: You People,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:07,00:00:07,CA (Canada)
Ali,2023-05-16 06:32:39,00:00:14,Autoplayed: user action: None; ,Main Character Intro Clip: The Bubble,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:14,00:00:14,CA (Canada)
Ali,2023-05-16 06:32:24,00:00:10,Autoplayed: user action: None; ,Plot Clip: The House,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:10,00:00:10,CA (Canada)
Ali,2023-05-16 06:31:44,00:00:06,Autoplayed: user action: None; ,Cliffhanger Clip:  Luther: The Fallen Sun,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:06,00:00:06,CA (Canada)
Ali,2023-05-16 06:31:35,00:00:04,Autoplayed: user action: None; ,Supporting Character Clip: Murder Mystery 2,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:04,00:00:04,CA (Canada)
Ali,2023-05-16 06:31:24,00:00:09,Autoplayed: user action: None; ,Character Intro Clip: The Hatchet Wielding Hitchhiker,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:09,00:00:09,CA (Canada)
Ali,2023-05-16 06:30:22,00:00:05,Autoplayed: user action: None; ,Season 1 Teaser 2: Inside Man,TEASER_TRAILER,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:11,00:00:11,CA (Canada)
Ali,2023-05-16 06:30:13,00:00:07,Autoplayed: user action: None; ,Season 1 Teaser 2: Inside Man,TEASER_TRAILER,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:07,Not latest view,CA (Canada)
Ali,2023-05-16 06:29:50,00:00:18,Autoplayed: user action: None; ,Season 1 Teaser 2: Inside Man,TEASER_TRAILER,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:18,Not latest view,CA (Canada)
Ali,2023-05-16 06:29:07,00:00:04,Autoplayed: user action: None; ,Trailer: If Anything Happens I Love You,TRAILER,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:04,00:00:04,CA (Canada)
Ali,2023-05-16 06:28:50,00:00:12,Autoplayed: user action: None; ,Teaser 4: Entergalactic,TEASER_TRAILER,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:12,00:00:12,CA (Canada)
Ali,2023-05-16 06:28:29,00:00:07,Autoplayed: user action: None; ,I See You_hook_01_16x9,HOOK,LG DTV 2022 LG O22 UHD TV Smart TV,00:00:07,00:00:07,CA (Canada)
